"id","details","operator","operator_circle","price","validity","categories"
212,Data: 50 GB Voice : NA SMS : NA Validity: 30 Days,Jio,andra-pradesh-telangana,"301","30 days",Data
213,Data: 2.5 GB/day Voice: Unlimited Calls SMS: 100 SMS/day Validity: 30 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"349","30 days","Truly_unlimited,Jio_apps"
214,Data: 3 GB/day + 6 GB Voice: Unlimited Calls SMS : 100 SMS/day Validity: 28 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"399","28 days","Truly_unlimited,Jio_apps"
215,Data: 100 GB Voice : NA SMS : NA Validity: 60 Days,Jio,andra-pradesh-telangana,"444","60 days",Data
216,Data: 1.5 GB/day Voice: Unlimited Calls SMS : 100 SMS/day Validity : 56 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"479","56 days","Combo,Truly_unlimited,Jio_apps"
217,"IR Travel Pass Outgoing calls to India & Local: 100 mins Incoming Call: FREE Mobile Data: 250 MB high speed data thereafter unlimited at 64 kbps SMS: 100 Validity: 1 day Applicable in top 32 countries including US, UK, UAE, Saudi, Canada, Thailand, Singapore, Germany etc | Please visit https://www.Jio.com/selfcare/plans/mobility/Jio-international-roaming-plans/?country=check for more details on country and partner network",Jio,andra-pradesh-telangana,"499","1 days",International_roaming
218,"ISD Talktime: Rs | 424.58 and 5 ISD SMS, Talktime can be used only for making ISD calls and ISD SMS while in India.Validity: 28 Days For ISD Call rates",Jio,andra-pradesh-telangana,"501","28 days",Talktime
219,Data: 1.5 GB/Day Voice: Unlimited Calls SMS : 100 SMS/day Validity: 56 Days Subscription to JioSaavn Pro Complimentary subscription to Jio Apps Note - To activate JioSaavn Pro subscription login to JioSaavn app with your Jio number,Jio,andra-pradesh-telangana,"529","56 days","Truly_unlimited,Jio_apps"
220,Data: 2 GB/day Voice: Unlimited Calls SMS : 100 SMS/day Validity : 56 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"533","56 days","Truly_unlimited,Jio_apps"
221,Data Only Pack Data: 55 GB Voice : NA SMS : NA Validity: 55 Days Complimentary subscription to Jio Apps,Jio,andra-pradesh-telangana,"555","55 days","Data,Jio_apps"
222,Data: 2 GB/Day Voice: Unlimited Calls SMS : 100 SMS/day Validity: 56 Days Subscription to JioSaavn Pro Complimentary subscription to Jio Apps Note - To activate JioSaavn Pro subscription login to JioSaavn app with your Jio number,Jio,andra-pradesh-telangana,"589","56 days","Combo,Truly_unlimited,Jio_apps"
223,"Data: 1.5 GB/day, Voice: Unlimited Calls SMS : 100 SMS/day Validity: 84 Days Complimentary subscription to Jio Apps",Jio,andra-pradesh-telangana,"666","84 days","Truly_unlimited,Jio_apps"
224,Data: 150 GB Voice : NA SMS : NA Validity: 90 Days,Jio,andra-pradesh-telangana,"667","90 days",Data
